,feature,importance,normalized_importance,cumulative_importance
265,banner_id_23141706.0,2.9,0.0012992831541218635,0.8127688172042996
266,banner_id_23638936.0,2.8000000000000003,0.001254480286738351,0.814023297491038
267,advertiser_id_325728.0,2.8000000000000003,0.001254480286738351,0.8152777777777763
268,zone_id_7097220.0,2.8000000000000003,0.001254480286738351,0.8165322580645147
269,banner_id_23903934.0,2.8000000000000003,0.001254480286738351,0.817786738351253
270,zone_id_14609086.0,2.8000000000000003,0.001254480286738351,0.8190412186379914
271,city_code_18.0,2.8000000000000003,0.001254480286738351,0.8202956989247298
272,region_code_12025.0,2.8,0.0012544802867383508,0.8215501792114681
273,zone_id_14811469.0,2.8,0.0012544802867383508,0.8228046594982065
274,advertiser_id_340719.0,2.8,0.0012544802867383508,0.8240591397849448
275,advertiser_id_598070.0,2.8,0.0012544802867383508,0.8253136200716832
276,geo_CL,2.7,0.0012096774193548385,0.826523297491038
277,geo_PL,2.7,0.0012096774193548385,0.8277329749103929
278,os_version_mac10.11,2.7,0.0012096774193548385,0.8289426523297477
279,banner_id_23984235.0,2.7,0.0012096774193548385,0.8301523297491026
280,banner_id_23586183.0,2.7,0.0012096774193548385,0.8313620071684574
281,mobile_isp_1019.0,2.7,0.0012096774193548385,0.8325716845878123
282,zone_id_8139384.0,2.7,0.0012096774193548385,0.8337813620071671
283,offer_id_130.0,2.6999999999999997,0.0012096774193548383,0.834991039426522
284,region_code_10027.0,2.6999999999999997,0.0012096774193548383,0.8362007168458768
285,isp_18515.0,2.6999999999999993,0.0012096774193548381,0.8374103942652317
286,zone_id_14573441.0,2.6000000000000005,0.0011648745519713263,0.838575268817203
287,region_code_10044.0,2.6,0.001164874551971326,0.8397401433691744
288,banner_id_23074678.0,2.6,0.001164874551971326,0.8409050179211457
289,advertiser_id_399303.0,2.6,0.001164874551971326,0.842069892473117
290,region_code_11793.0,2.6,0.001164874551971326,0.8432347670250884
291,advertiser_id_561735.0,2.6,0.001164874551971326,0.8443996415770597
292,zone_id_748324.0,2.6,0.001164874551971326,0.845564516129031
293,geo_MX,2.6,0.001164874551971326,0.8467293906810024
294,zone_id_6357218.0,2.6,0.001164874551971326,0.8478942652329737
295,isp_28523.0,2.6,0.001164874551971326,0.8490591397849451
296,isp_41324.0,2.6,0.001164874551971326,0.8502240143369164
297,offer_id_249.0,2.5999999999999996,0.0011648745519713258,0.8513888888888878
298,banner_id_21396269.0,2.5999999999999996,0.0011648745519713258,0.8525537634408591
299,advertiser_id_322803.0,2.5999999999999996,0.0011648745519713258,0.8537186379928304
300,isp_38543.0,2.5000000000000004,0.0011200716845878136,0.8548387096774183
301,geo_GB,2.5000000000000004,0.0011200716845878136,0.8559587813620061
302,isp_73535.0,2.5,0.0011200716845878133,0.8570788530465939
303,advertiser_id_379890.0,2.5,0.0011200716845878133,0.8581989247311818
304,city_code_19585.0,2.5,0.0011200716845878133,0.8593189964157696
305,isp_102851.0,2.5,0.0011200716845878133,0.8604390681003574
306,offer_id_356.0,2.5,0.0011200716845878133,0.8615591397849452
307,city_code_35939.0,2.5,0.0011200716845878133,0.8626792114695331
308,region_code_10002.0,2.4000000000000004,0.001075268817204301,0.8637544802867374
309,advertiser_id_508233.0,2.4000000000000004,0.001075268817204301,0.8648297491039417
310,lang_pt,2.4000000000000004,0.001075268817204301,0.865905017921146
311,region_code_726.0,2.4000000000000004,0.001075268817204301,0.8669802867383504
312,browser_safari,2.4000000000000004,0.001075268817204301,0.8680555555555547
313,lang_- ,2.4,0.0010752688172043009,0.869130824372759
314,banner_id_21902897.0,2.4,0.0010752688172043009,0.8702060931899633
315,zone_id_14877131.0,2.4,0.0010752688172043009,0.8712813620071677
316,isp_91265.0,2.4,0.0010752688172043009,0.872356630824372
317,region_code_36.0,2.4,0.0010752688172043009,0.8734318996415763
318,zone_id_8879253.0,2.4,0.0010752688172043009,0.8745071684587806
319,city_code_19757.0,2.3000000000000003,0.0010304659498207884,0.8755376344086014
320,city_code_19306.0,2.3000000000000003,0.0010304659498207884,0.8765681003584223
321,advertiser_id_425062.0,2.3000000000000003,0.0010304659498207884,0.8775985663082431
322,region_code_44.0,2.3000000000000003,0.0010304659498207884,0.8786290322580639
323,geo_ZA,2.3000000000000003,0.0010304659498207884,0.8796594982078847
324,region_code_14.0,2.3000000000000003,0.0010304659498207884,0.8806899641577055
325,advertiser_id_350467.0,2.3000000000000003,0.0010304659498207884,0.8817204301075263
